都道府県,合計,Ⅰ,Ⅱ,Ⅲ,Ⅳ,緯度,経度
北海道,929,84,537,306,2,,
青森県,108,0,82,26,0,,
岩手県,611,24,368,219,0,,
宮城県,270,10,133,127,0,,
秋田県,310,2,186,122,0,,
山形県,273,2,176,95,0,,
福島県,507,4,254,249,0,,
茨城県,98,2,79,17,0,,
栃木県,174,4,130,40,0,,
群馬県,225,1,87,135,2,,
埼玉県,172,40,94,38,0,,
千葉県,839,31,583,221,4,,
東京都,295,25,194,74,2,,
神奈川県,573,15,480,78,0,,
新潟県,717,6,413,292,6,,
富山県,220,0,126,94,0,,
石川県,286,2,207,71,6,,
福井県,484,6,316,162,0,,
山梨県,412,36,291,85,0,,
長野県,712,8,455,241,8,,
岐阜県,660,8,406,244,2,,
静岡県,768,12,537,217,2,,
愛知県,266,0,198,68,0,,
三重県,402,4,281,117,0,,
滋賀県,146,2,122,18,4,,
京都府,294,2,227,65,0,,
大阪府,191,0,157,34,0,,
兵庫県,670,26,547,97,0,,
奈良県,370,2,258,110,0,,
和歌山県,712,10,501,199,2,,
鳥取県,206,4,153,49,0,,
島根県,646,2,413,231,0,,
岡山県,408,7,287,114,0,,
広島県,779,20,454,303,2,,
山口県,472,6,260,198,8,,
徳島県,333,2,200,131,0,,
香川県,97,2,79,16,0,,
愛媛県,638,12,388,236,2,,
高知県,762,18,563,179,2,,
福岡県,274,17,235,22,0,,
佐賀県,88,2,82,4,0,,
長崎県,416,16,290,110,0,,
熊本県,561,10,407,144,0,,
大分県,1100,15,801,282,2,,
宮崎県,469,14,376,79,0,,
鹿児島県,351,14,215,122,0,,
沖縄県,94,8,68,18,0,,
合計,20388,537,13696,6099,56,,
